isAdult,releaseYear,runtimeMinutes,genres,lifetimeGross,nrOfReleases,director_nrOfMovies,nrOfEmployees,nrOfActors,averageRating,numVotes,sameYearTotalMoviesReleased
0,1993,92,"Family,Fantasy,Music",2119994.0,29,38,18,10,5.8,2448,4214
0,1982,100,"Adventure,Romance",5588800.0,35,185,18,10,4.9,2938,4121
0,2008,130,"Comedy,Drama,Romance",1010194.0,27,37,22,10,6.8,12882,10549
0,1926,136,"Action,Adventure,Fantasy",814000.0,19,20,15,10,6.2,222,2103
0,1990,92,"Adventure,Family",15104156.0,35,21,24,10,6.5,3155,4920
0,1983,128,"Drama,War",5696391.0,35,45,18,10,7.0,8534,4250
0,2006,97,"Documentary,History",9602.0,6,100,12,0,7.4,226,8293
0,1997,104,"Action,Drama,Sci-Fi",49323468.0,52,75,21,10,5.5,81773,4708
0,1996,92,"Comedy,Crime,Thriller",26004.0,17,35,18,10,4.7,909,4372
0,1997,74,Drama,26004.0,3,120,16,9,3.6,64,4708
0,2013,80,"Horror,Sci-Fi,Thriller",8447.0,14,7,21,10,4.7,3466,15505
0,2010,105,"Action,Crime,Drama",35606376.0,59,33,23,11,6.3,102298,12843
0,2000,86,Documentary,1191835.0,3,6,18,0,5.8,346,5246
0,2002,113,"Comedy,Crime,Musical",170687518.0,48,14,21,10,7.2,243903,5864
0,2008,94,Comedy,4694636.0,22,3,24,10,4.6,12701,10549
0,2006,100,"Comedy,Music,Romance",228498.0,21,26,20,10,5.7,5327,8293
0,1978,110,"Action,Drama",22765081.0,48,45,20,11,6.3,18683,4031
0,2015,88,"Crime,Drama,Mystery",5211.0,3,222,18,9,3.6,446,17292
0,2008,97,"Comedy,Romance",2656784.0,37,14,22,10,6.6,22469,10549
0,1975,106,"Action,Crime,Drama",2122703.0,17,92,21,10,6.4,744,4070
0,2017,135,"Fantasy,Horror",327481748.0,71,19,24,10,7.3,609080,18977
0,1980,115,"Drama,Music,Romance",27118000.0,28,102,21,11,5.9,5035,4117
0,1979,112,"Comedy,Romance,Sport",42800000.0,29,13,21,10,5.5,3293,4157
0,1987,95,"Comedy,Mystery",989033.0,20,62,20,10,5.0,568,4526
0,2009,153,"Crime,Drama,Thriller",997437.0,12,22,21,10,6.8,12236,12001
0,2003,139,"Action,Drama,Romance",58331254.0,43,7,22,10,7.4,78390,6147
0,1981,155,Drama,11099118.0,36,20,18,10,7.3,10589,4110
0,2002,115,"Horror,Mystery",129128133.0,62,15,20,10,7.1,376188,5864
0,1995,93,"Documentary,Music",2702578.0,4,47,20,0,6.9,383,4397
0,2009,116,Drama,10824.0,15,15,19,9,6.4,1653,12001
0,1987,105,Comedy,5711976.0,19,16,19,10,5.4,1163,4526
0,1987,133,"Action,Crime,Drama",5711976.0,4,5,17,10,6.6,11,4526
0,2003,121,"Action,Fantasy,Thriller",51970690.0,52,33,21,10,7.0,285927,6147
0,1989,100,"Adventure,Comedy,Drama",14278900.0,26,249,19,10,6.1,16603,4633
0,2008,100,"Drama,Romance",294244.0,17,52,21,10,6.3,3484,10549
0,2016,118,"Comedy,Drama",272132.0,36,48,20,10,7.4,12818,18513
0,2006,108,"Drama,Romance,Sport",17127992.0,27,54,21,10,5.8,21934,8293
0,2006,52,"Documentary,History,War",11750.0,15,39,7,0,7.4,716,8293
0,2015,89,Drama,478595.0,8,30,20,10,6.5,2108,17292
0,2002,103,"Drama,Thriller",881950.0,17,155,20,10,4.7,777,5864
0,1998,113,"Comedy,Drama",5078660.0,44,69,18,10,6.3,28478,4866
0,2017,78,Drama,30110.0,15,18,20,10,6.5,719,18977
0,2008,105,"Action,Sci-Fi,Thriller",11008770.0,45,49,21,11,5.9,80044,10549
0,1980,104,"Crime,Drama,Mystery",31899000.0,53,43,17,10,7.1,48482,4117
0,1997,101,"Action,Comedy,Crime",14515490.0,37,20,22,10,5.4,14280,4708
0,1984,96,Comedy,1467396.0,25,59,23,10,5.3,1113,4434
0,1999,108,"Crime,Drama,Thriller",4197729.0,31,188,20,10,5.1,6237,5036
0,2013,98,"Drama,Thriller",9318.0,14,157,18,10,6.3,529,15505
0,2014,87,"Drama,Fantasy,Horror",9318.0,27,16,17,8,5.7,27540,16664
0,2015,96,"Horror,Thriller",9318.0,9,11,17,7,4.8,1135,17292
0,2013,114,Comedy,9318.0,2,586,16,10,6.4,14,15505
0,1985,97,Drama,7562164.0,9,10,16,10,5.7,29,4533
0,1985,115,"Action,Comedy,Crime",7562164.0,36,105,20,10,6.4,13676,4533
0,2002,93,"Comedy,Drama,Romance",37191304.0,48,160,19,10,3.8,44296,5864
0,2003,95,"Comedy,Romance",56127162.0,46,145,20,10,5.5,74540,6147
0,1993,115,Drama,24760338.0,35,19,19,10,6.7,31064,4214
0,1996,121,"Action,Crime,Thriller",136492681.0,56,64,25,10,6.7,135783,4372
0,2005,94,"Comedy,Sport",35428675.0,32,4,23,10,5.8,38894,7753
0,1989,114,"Action,Thriller",30050028.0,59,19,19,10,6.7,102118,4633
0,2018,102,"Action,Adventure,Thriller",68420120.0,52,30,22,10,5.8,134712,19175
0,1988,103,"Biography,Drama",13994920.0,35,7,19,10,7.3,22428,4634
0,2010,97,"Comedy,Drama,Romance",467602.0,39,28,22,10,7.3,96684,12843
0,2011,97,"Comedy,Romance",15760.0,13,5,20,10,6.8,7966,13791
0,1982,140,"Comedy,Drama,Fantasy",5005245.0,29,20,19,10,6.4,2716,4121
0,2008,110,"Drama,Romance",3149034.0,42,21,20,10,7.0,43637,10549
0,1998,93,Crime,171082.0,3,9,18,10,6.2,130,4866
0,2018,88,"Drama,Horror,Mystery",28252.0,25,15,17,6,5.6,9548,19175
0,2004,170,"Biography,Drama",102610330.0,57,106,21,10,7.5,384928,6733
0,2017,93,"Biography,Documentary",7347.0,11,29,19,0,6.4,269,18977
